,T15.f,T15.lg,T15.pv,T15.sm,T32.cs,T32.f,T32.lg,T32.pv,T32.sm,T35.f,T35.lg,T35.pv,T35.sm,T37.cs,T37.f,T37.lg,T37.pv,T37.sm,T38.f,T38.lg,T38.pv,T38.sm,T39.cs,T39.f,T39.lg,T39.pv,T39.sm,T4.cs,T4.f,T4.lg,T4.pv,T4.sm,T44.f,T44.lg,T44.sm,T6.f,T6.lg,T6.sm,T8.cs,T8.f,T8.lg,T8.pv,T8.sm
T39.sm,0.634147422,0.624432965,0.575248622,0.577001488,0.435788446,0.430000033,0.714933766,0.614892898,0.59673316,0.383741254,0.541300411,0.730959465,0.67051144,0.574574592,0.696974706,0.663955881,0.641868609,0.535995264,0.46296637,0.578274702,0.668178326,0.623684575,0.592357135,0.495120946,0.423359263,0.645996537,0,0.407669503,0.448799108,0.611102944,0.638153181,0.624763921,0.46199806,0.548847279,0.572342685,0.394225149,0.710753894,0.746592906,0.358088048,0.6680583,0.620726652,0.751369888,0.723311513
T4.cs,0.699684787,0.628248291,0.544928273,0.552855637,0.394040689,0.438742386,0.716966029,0.540900038,0.573351433,0.392136968,0.545968118,0.721451517,0.638945932,0.554013428,0.734870697,0.6415478,0.566758758,0.664452386,0.430363239,0.582170335,0.585794802,0.581151645,0.513195919,0.671329656,0.442567567,0.765879237,0.407669503,0,0.639953825,0.745942893,0.712826235,0.736141443,0.562568539,0.52661236,0.545383072,0.353668798,0.713371129,0.748186082,0.314746354,0.671042262,0.597353132,0.737327607,0.708405797
T4.f,0.31143401,0.739263773,0.70158308,0.703447007,0.656580689,0.65835784,0.488955157,0.718978068,0.323597201,0.613071364,0.681714867,0.574627867,0.480080079,0.687157596,0.419380194,0.234203963,0.739109738,0.677845943,0.644226538,0.29830218,0.747625377,0.735973132,0.706040079,0.094531259,0.659778958,0.484495485,0.448799108,0.639953825,0,0.272326528,0.483338767,0.416036994,0.623700059,0.699999351,0.701156289,0.635211013,0.272030761,0.800701502,0.610251316,0.231121738,0.190550076,0.801190822,0.432319707
T4.lg,0.492413679,0.540477495,0.506533241,0.509615459,0.726713159,0.774008892,0.240377162,0.541736372,0.503918004,0.732419388,0.480971112,0.429590692,0.298494992,0.765322272,0.252406708,0.391237503,0.591817326,0.479477998,0.748335668,0.48840571,0.590613822,0.542678889,0.52315678,0.327306617,0.774727944,0.276581806,0.611102944,0.745942893,0.272326528,0,0.269948498,0.177767354,0.426598474,0.513357892,0.505366144,0.710155452,0.424131355,0.660676343,0.735350639,0.447288288,0.413082572,0.669784365,0.256994421
T4.pv,0.589109118,0.596611384,0.543876756,0.548814637,0.7438093,0.801674806,0.354631796,0.565453628,0.561416864,0.763576774,0.5445055,0.419207926,0.336641715,0.75491787,0.407424871,0.564464102,0.555838034,0.542532413,0.760188423,0.565786553,0.576517762,0.595652677,0.557827405,0.516658983,0.802228797,0.338966651,0.638153181,0.712826235,0.483338767,0.269948498,0,0.269836737,0.472855213,0.535022902,0.545651871,0.7288403,0.611800002,0.690763459,0.751022347,0.62449005,0.576985553,0.679590413,0.429186944
T4.sm,0.551596172,0.558453301,0.501121013,0.502465206,0.716102141,0.780434372,0.186462164,0.536283397,0.433139527,0.72642225,0.501320775,0.423343659,0.222912536,0.746807248,0.353644555,0.500944797,0.572257271,0.495207629,0.693175742,0.458857198,0.539263523,0.555806612,0.501901707,0.397484446,0.782330005,0.233639582,0.624763921,0.736141443,0.416036994,0.177767354,0.269836737,0,0.42293405,0.472662337,0.499671365,0.700812796,0.556018094,0.670067626,0.727417162,0.572017363,0.51959672,0.627793862,0.307386968
T44.f,0.69974262,0.223550593,0.157352914,0.156245647,0.56424753,0.597144272,0.45424394,0.247974585,0.654272414,0.538595053,0.129814905,0.513091237,0.423375454,0.638271132,0.476700776,0.708826399,0.396210309,0.130560367,0.563014148,0.660936488,0.369206654,0.254959763,0.212082213,0.640609851,0.587700844,0.514853925,0.46199806,0.562568539,0.623700059,0.426598474,0.472855213,0.42293405,0,0.238890546,0.13318077,0.536960385,0.767341094,0.515319541,0.495896521,0.725783775,0.665644217,0.513919829,0.478249153
T44.lg,0.750504819,0.233799186,0.19416124,0.201824478,0.594592296,0.594952898,0.452220095,0.287026603,0.673812339,0.518256778,0.140356809,0.573479372,0.397373184,0.684802421,0.548256134,0.727525454,0.400164115,0.31136599,0.509241419,0.660927798,0.317055316,0.253388079,0.214483937,0.673282017,0.59694891,0.565687357,0.548847279,0.52661236,0.699999351,0.513357892,0.535022902,0.472662337,0.238890546,0,0.186836899,0.568776334,0.766498273,0.516288413,0.53958117,0.731690551,0.692374921,0.4844737,0.44025411
T44.sm,0.728231559,0.110923277,0.053022694,0.039028031,0.501241404,0.533615341,0.425491992,0.20191818,0.644375585,0.512709446,0.05759666,0.541018918,0.395706817,0.684358332,0.517951139,0.681911969,0.427538058,0.210484572,0.546056797,0.651695906,0.34232837,0.151396813,0.157476217,0.71360825,0.527973008,0.581561842,0.572342685,0.545383072,0.701156289,0.505366144,0.545651871,0.499671365,0.13318077,0.186836899,0,0.508359769,0.745964048,0.477432712,0.427808672,0.700585963,0.634884397,0.482913807,0.464818834
T6.f,0.700847417,0.609049114,0.519305241,0.521947299,0.087060727,0.332123553,0.661751441,0.572226979,0.548031603,0.290932913,0.509013134,0.75337624,0.675155431,0.614128705,0.737722535,0.553252849,0.692652048,0.650104007,0.376041548,0.565914775,0.649912635,0.616624784,0.549938963,0.662887866,0.338312316,0.755249331,0.394225149,0.353668798,0.635211013,0.710155452,0.7288403,0.700812796,0.536960385,0.568776334,0.508359769,0,0.640802177,0.754890227,0.178204663,0.662403873,0.575006909,0.741779038,0.715117148
T6.lg,0.300872761,0.728317427,0.750540489,0.752309305,0.635765847,0.619993543,0.468935473,0.778548111,0.346062852,0.681910078,0.74547283,0.645917788,0.520817179,0.792331738,0.514270448,0.098891171,0.824554297,0.750999205,0.717231503,0.327888048,0.806981235,0.743873714,0.771712119,0.329419732,0.622022247,0.608539029,0.710753894,0.713371129,0.272030761,0.424131355,0.611800002,0.556018094,0.767341094,0.766498273,0.745964048,0.640802177,0,0.824675147,0.653675131,0.071323558,0.152447787,0.838694935,0.466541694
T6.sm,0.795626188,0.47969274,0.472522372,0.467929721,0.752766895,0.728302746,0.628952419,0.516697586,0.787265253,0.727378297,0.474728748,0.685120423,0.613961465,0.800809468,0.67197764,0.812978549,0.626046051,0.514492527,0.744783032,0.776925284,0.577652505,0.484090805,0.518918491,0.808238653,0.723610046,0.699510531,0.746592906,0.748186082,0.800701502,0.660676343,0.690763459,0.670067626,0.515319541,0.516288413,0.477432712,0.754890227,0.824675147,0,0.711539966,0.793363257,0.782892945,0.144602731,0.641550554
T8.cs,0.64151412,0.525334072,0.452894592,0.450067488,0.146240369,0.207069643,0.694489385,0.537381686,0.517008824,0.221782122,0.462122917,0.735855755,0.655003492,0.583270722,0.721988652,0.56724687,0.669590703,0.581807427,0.311566479,0.524687231,0.615275916,0.543646102,0.514352504,0.632966122,0.18595277,0.776200021,0.358088048,0.314746354,0.610251316,0.735350639,0.751022347,0.727417162,0.495896521,0.53958117,0.427808672,0.178204663,0.653675131,0.711539966,0,0.591797385,0.507123046,0.697845795,0.68722821
T8.f,0.245488696,0.679785024,0.713458211,0.708065363,0.65795883,0.564800171,0.491665783,0.742304667,0.303023821,0.625081058,0.700006945,0.617846266,0.484421065,0.761234347,0.487350506,0.157374777,0.798133708,0.706521101,0.666717357,0.271089321,0.772507808,0.698122007,0.730935993,0.282878702,0.554483767,0.621030162,0.6680583,0.671042262,0.231121738,0.447288288,0.62449005,0.572017363,0.725783775,0.731690551,0.700585963,0.662403873,0.071323558,0.793363257,0.591797385,0,0.090535138,0.809887894,0.427600944
T8.lg,0.300197824,0.700332714,0.649329596,0.644015384,0.574221377,0.602582532,0.454623425,0.688094293,0.228446455,0.573630061,0.657482019,0.573138511,0.425784867,0.710485527,0.436253925,0.07403364,0.755186407,0.723873783,0.597448718,0.226707557,0.725096071,0.704345348,0.671932962,0.24443903,0.593284203,0.591852771,0.620726652,0.597353132,0.190550076,0.413082572,0.576985553,0.51959672,0.665644217,0.692374921,0.634884397,0.575006909,0.152447787,0.782892945,0.507123046,0.090535138,0,0.770228045,0.374487825
T8.pv,0.821422214,0.532309438,0.490380583,0.488763191,0.737480913,0.757758452,0.63757569,0.489050979,0.773660468,0.714827035,0.498819595,0.665462558,0.60573912,0.772169894,0.658787107,0.797928495,0.609445882,0.560180837,0.68819616,0.77905847,0.522763941,0.541944848,0.49671407,0.772711539,0.752396826,0.699859757,0.751369888,0.737327607,0.801190822,0.669784365,0.679590413,0.627793862,0.513919829,0.4844737,0.482913807,0.741779038,0.838694935,0.144602731,0.697845795,0.809887894,0.770228045,0,0.598730477
T8.sm,0.525630465,0.517580655,0.469580055,0.467964749,0.728329028,0.749288435,0.29360914,0.503989891,0.47032943,0.687889806,0.4600923,0.439453552,0.269425658,0.754917565,0.298566115,0.412632726,0.50574671,0.547307537,0.545676128,0.461074651,0.397069187,0.513360651,0.461989777,0.403995082,0.743722068,0.448210353,0.723311513,0.708405797,0.432319707,0.256994421,0.429186944,0.307386968,0.478249153,0.44025411,0.464818834,0.715117148,0.466541694,0.641550554,0.68722821,0.427600944,0.374487825,0.598730477,0
