,T15.f,T15.lg,T15.pv,T15.sm,T32.cs,T32.f,T32.lg,T32.pv,T32.sm,T35.f,T35.lg,T35.pv,T35.sm,T37.cs,T37.f,T37.lg,T37.pv,T37.sm,T38.f,T38.lg,T38.pv,T38.sm,T39.cs,T39.f,T39.lg,T39.pv,T39.sm,T4.cs,T4.f,T4.lg,T4.pv,T4.sm,T44.f,T44.lg,T44.sm,T6.f,T6.lg,T6.sm,T8.cs,T8.f,T8.lg,T8.pv,T8.sm
T4.lg,0.116272054,0.187667044,0.38510199,0.275695646,0.081898867,0.031864689,0.23553384,0.320793221,0.284848057,0.278821568,0.24282467,0.401690076,0.294518271,0.083771919,0.177494798,0.144276645,0.405972175,0.291094723,0.085073495,0.068570264,0.179759913,0.119497061,0.059135533,0.046272466,0.065419368,0.236937198,0.275733628,0.063294064,0.054644525,0,0.390338261,0.276890984,0.133643076,0.052482012,0.28355634,0.04768029,0.050573441,0.312008434,0.073151461,0.063836282,0.066270048,0.437445144,0.056742361
T4.pv,0.386287365,0.357106077,0.079461902,0.329696553,0.384789201,0.408583757,0.345697395,0.305789879,0.332081252,0.34733107,0.360401131,0.407237784,0.31533161,0.384242431,0.365911374,0.365577716,0.327131866,0.326894697,0.384646459,0.393324909,0.34723774,0.373874312,0.411444218,0.409267326,0.41891605,0.42809389,0.341937572,0.416192419,0.405513158,0.390338261,0,0.321972059,0.330330411,0.410876293,0.332578116,0.391466321,0.41261202,0.336356379,0.426544647,0.418913822,0.420909399,0.212754253,0.39344009
T4.sm,0.237881762,0.11441175,0.31625564,0.050283924,0.212031852,0.305284791,0.057474701,0.184642589,0.019000345,0.08246661,0.23897198,0.173131553,0.024043227,0.250153757,0.127864779,0.143321697,0.242550098,0.021043811,0.32684721,0.280711595,0.168806447,0.220785446,0.333213973,0.315791828,0.338889486,0.277376222,0.036415706,0.336562061,0.328679998,0.276890984,0.321972059,0,0.21268526,0.32566562,0.018364573,0.243841746,0.324567184,0.046815562,0.346525172,0.338346562,0.340674613,0.378873068,0.316298114
T44.f,0.078993388,0.111029396,0.338654423,0.180737264,0.071388342,0.158328174,0.177059992,0.191777404,0.226029812,0.200256712,0.225671425,0.298375327,0.208583632,0.084836615,0.119575465,0.086628876,0.290584038,0.215004205,0.143326366,0.123129888,0.074457552,0.059067756,0.179496092,0.164433191,0.178356243,0.153383328,0.210164167,0.189444139,0.182776583,0.133643076,0.330330411,0.21268526,0,0.17102587,0.218738263,0.097076014,0.180413739,0.222419955,0.191729844,0.194632179,0.18428829,0.365615025,0.147332866
T44.lg,0.148007601,0.217599204,0.396563148,0.305765967,0.118524801,0.024692297,0.277283831,0.356236801,0.326471843,0.308227175,0.278868808,0.445799414,0.334728614,0.117612761,0.222634584,0.187174404,0.449057147,0.328977217,0.08075488,0.094147965,0.2157258,0.154759074,0.014639507,0.020941213,0.021581245,0.285309072,0.315099925,0.021028287,0.025861042,0.052482012,0.410876293,0.32566562,0.17102587,0,0.319103974,0.085485661,0.013845965,0.349189876,0.022188164,0.024444631,0.029350853,0.444767926,0.0559222
T44.sm,0.232273029,0.108807132,0.318176548,0.049998047,0.204600439,0.297215928,0.055622419,0.187066073,0.007911947,0.074220557,0.238050413,0.178922905,0.020084484,0.248112295,0.128022346,0.141129037,0.247392898,0.011635278,0.323087291,0.27580579,0.173092215,0.220641155,0.329768321,0.316934499,0.330068851,0.291547285,0.037164838,0.330826195,0.334720643,0.28355634,0.332578116,0.018364573,0.218738263,0.319103974,0,0.237593457,0.319358598,0.046626289,0.337710542,0.334757591,0.337085642,0.38180765,0.314589845
T6.f,0.072226096,0.145032982,0.378166664,0.23291316,0.034240982,0.061549532,0.19481666,0.282203493,0.242428923,0.231352846,0.232571867,0.366060846,0.254467203,0.049168937,0.139116666,0.102890582,0.367657771,0.24915782,0.08659945,0.066281383,0.142114959,0.077116724,0.094892033,0.080769053,0.095146504,0.203413123,0.230928259,0.093779679,0.097473941,0.04768029,0.391466321,0.243841746,0.097076014,0.085485661,0.237593457,0,0.083443579,0.269622207,0.102795284,0.099842333,0.102170384,0.430665492,0.079713557
T6.lg,0.150769321,0.226399355,0.401444876,0.315077208,0.116382626,0.022319613,0.274055568,0.36562467,0.322051285,0.314470161,0.288256677,0.44689394,0.334013203,0.123878051,0.21930946,0.181888626,0.451003243,0.330566556,0.09022104,0.097707241,0.225392864,0.158606895,0.016563407,0.024837425,0.031031172,0.284032847,0.314167359,0.015250867,0.016227239,0.050573441,0.41261202,0.324567184,0.180413739,0.013845965,0.319358598,0.083443579,0,0.351651277,0.022878763,0.016406444,0.03595792,0.456511798,0.061907673
T6.sm,0.262886551,0.13713934,0.341512103,0.062309732,0.236898048,0.329682459,0.088306338,0.145565077,0.05362979,0.105985966,0.264948735,0.138845047,0.034894178,0.279337538,0.159608784,0.173835616,0.206458201,0.043384258,0.354087236,0.307031748,0.161597222,0.197306713,0.359462277,0.348067467,0.361804956,0.250583963,0.069253474,0.362789453,0.366412058,0.312008434,0.336356379,0.046815562,0.222419955,0.349189876,0.046626289,0.269622207,0.351651277,0,0.369503299,0.366146776,0.368727583,0.336961116,0.345460061
T8.cs,0.165320765,0.23811201,0.414673296,0.326406407,0.135721236,0.041813873,0.296117052,0.377346643,0.343768372,0.325889762,0.299676278,0.466175876,0.355467064,0.135989634,0.241550772,0.204370839,0.46990456,0.349301955,0.092775311,0.112035484,0.236753477,0.174680017,0.017699533,0.039562283,0.02563218,0.306094331,0.332645863,0.015950479,0.028429819,0.073151461,0.426544647,0.346525172,0.191729844,0.022188164,0.337710542,0.102795284,0.022878763,0.369503299,0,0.009938886,0.028192735,0.46304411,0.075330217
T8.f,0.164987761,0.240617795,0.411733439,0.329295648,0.13278138,0.038477466,0.287834946,0.37997225,0.335589762,0.328688601,0.302475117,0.461241519,0.349894737,0.138349598,0.23233909,0.195159157,0.466875688,0.345965548,0.096087343,0.111925681,0.239611304,0.172825335,0.017637393,0.038682837,0.029956085,0.300431601,0.32960251,0.013010623,0.019862708,0.063836282,0.418913822,0.338346562,0.194632179,0.024444631,0.334757591,0.099842333,0.016406444,0.366146776,0.009938886,0,0.031529972,0.465503588,0.075052132
T8.lg,0.14057638,0.232346774,0.41406149,0.309785318,0.135124743,0.041204285,0.290268711,0.355749318,0.337933126,0.303984165,0.277770681,0.46305235,0.352222788,0.12985242,0.234667142,0.197502521,0.469219052,0.348692367,0.070793794,0.088089041,0.223970703,0.17407043,0.034222842,0.03244417,0.008083927,0.302865367,0.332036275,0.038310803,0.038049513,0.066270048,0.420909399,0.340674613,0.18428829,0.029350853,0.337085642,0.102170384,0.03595792,0.368727583,0.028192735,0.031529972,0,0.461381689,0.050257295
T8.pv,0.419573685,0.387330357,0.20784016,0.359917319,0.423572688,0.447296847,0.389430181,0.291891598,0.389017851,0.385974384,0.400540182,0.344349418,0.369858275,0.41498396,0.41046833,0.409218516,0.253510272,0.378757266,0.422799193,0.427046908,0.365916223,0.384004128,0.449895311,0.445633456,0.455064712,0.356633404,0.383067228,0.460617109,0.458917123,0.437445144,0.212754253,0.378873068,0.365615025,0.444767926,0.38180765,0.430665492,0.456511798,0.336961116,0.46304411,0.465503588,0.461381689,0,0.429148892
T8.sm,0.10910219,0.209437925,0.382226073,0.284890382,0.113815543,0.060101516,0.270143362,0.310092334,0.319202198,0.271074977,0.240160191,0.426484776,0.32926553,0.097633433,0.212988876,0.179284725,0.430654973,0.326165043,0.030272722,0.059103206,0.190559949,0.150958193,0.064625776,0.049014633,0.050875175,0.272972122,0.308527231,0.072879723,0.06759037,0.056742361,0.39344009,0.316298114,0.147332866,0.0559222,0.314589845,0.079713557,0.061907673,0.345460061,0.075330217,0.075052132,0.050257295,0.429148892,0
